stock_code,year,quarter,상장폐지 여부,관리종목 여부,감사의견
80,2020,4,상장,N,적정
80,2021,1,상장,N,적정
80,2021,2,상장,N,적정
80,2021,3,상장,N,적정
80,2021,4,상장,N,적정
80,2022,1,상장,N,적정
80,2022,2,상장,N,적정
80,2022,3,상장,N,적정
80,2022,4,상장,N,적정
80,2023,1,상장,N,적정
80,2023,2,상장,N,적정
80,2023,3,상장,N,적정
80,2023,4,상장,N,적정
80,2024,1,상장,N,적정
80,2024,2,상장,N,기타/확인필요
80,2024,3,상장,N,기타/확인필요
80,2024,4,상장,N,기타/확인필요
80,2025,1,상장,N,기타/확인필요
80,2025,2,상장,N,기타/확인필요
80,2025,3,상장,N,기타/확인필요
100,2020,1,상장,N,기타/확인필요
100,2020,2,상장,N,적정
100,2020,3,상장,N,적정
100,2020,4,상장,N,적정
100,2021,1,상장,N,적정
100,2021,2,상장,N,적정
100,2021,3,상장,N,적정
100,2021,4,상장,N,적정
100,2022,1,상장,N,적정
100,2022,2,상장,N,적정
100,2022,3,상장,N,적정
100,2022,4,상장,N,적정
100,2023,1,상장,N,적정
100,2023,2,상장,N,적정
100,2023,3,상장,N,적정
100,2023,4,상장,N,적정
100,2024,1,상장,N,적정
100,2024,2,상장,N,기타/확인필요
100,2024,3,상장,N,기타/확인필요
100,2024,4,상장,N,기타/확인필요
100,2025,1,상장,N,기타/확인필요
100,2025,2,상장,N,기타/확인필요
100,2025,3,상장,N,기타/확인필요
110,2023,3,상장,N,기타/확인필요
110,2023,4,상장,N,적정
110,2024,1,상장,N,적정
110,2024,2,상장,N,기타/확인필요
110,2024,3,상장,N,기타/확인필요
110,2024,4,상장,N,기타/확인필요
110,2025,1,상장,N,기타/확인필요
110,2025,2,상장,N,기타/확인필요
110,2025,3,상장,N,기타/확인필요
120,2020,1,상장,N,기타/확인필요
120,2020,2,상장,N,기타/확인필요
120,2020,3,상장,N,기타/확인필요
120,2020,4,상장,N,기타/확인필요
120,2021,1,상장,N,기타/확인필요
120,2021,2,상장,N,기타/확인필요
120,2021,3,상장,N,기타/확인필요
120,2021,4,상장,N,기타/확인필요
120,2022,1,상장,N,기타/확인필요
120,2022,2,상장,N,기타/확인필요
120,2022,3,상장,N,기타/확인필요
120,2022,4,상장,N,기타/확인필요
120,2023,1,상장,N,기타/확인필요
120,2023,2,상장,N,기타/확인필요
120,2023,3,상장,N,기타/확인필요
120,2023,4,상장,N,기타/확인필요
120,2024,1,상장,N,기타/확인필요
120,2024,2,상장,N,기타/확인필요
120,2024,3,상장,N,기타/확인필요
120,2024,4,상장,N,기타/확인필요
120,2025,1,상장,N,기타/확인필요
120,2025,2,상장,N,기타/확인필요
120,2025,3,상장,N,기타/확인필요
140,2020,1,상장,N,기타/확인필요
140,2020,2,상장,N,적정
140,2020,3,상장,N,적정
140,2020,4,상장,N,적정
140,2021,1,상장,N,적정
140,2021,2,상장,N,적정
140,2021,3,상장,N,적정
140,2021,4,상장,N,적정
140,2022,4,상장,N,적정
140,2023,1,상장,N,적정
140,2023,2,상장,N,적정
140,2023,3,상장,N,적정
140,2023,4,상장,N,적정
140,2024,1,상장,N,적정
140,2024,2,상장,N,기타/확인필요
140,2024,3,상장,N,기타/확인필요
140,2024,4,상장,N,기타/확인필요
140,2025,1,상장,N,기타/확인필요
140,2025,2,상장,N,기타/확인필요
140,2025,3,상장,N,기타/확인필요
150,2020,1,상장,N,기타/확인필요
150,2020,2,상장,N,적정
150,2020,3,상장,N,적정
150,2020,4,상장,N,적정
150,2021,1,상장,N,적정
150,2021,2,상장,N,적정
150,2021,3,상장,N,적정
150,2021,4,상장,N,적정
150,2022,1,상장,N,적정
150,2022,2,상장,N,기타/확인필요
150,2022,3,상장,N,기타/확인필요
150,2022,4,상장,N,기타/확인필요
150,2023,1,상장,N,기타/확인필요
150,2023,2,상장,N,적정
150,2023,3,상장,N,적정
150,2023,4,상장,N,적정
150,2024,1,상장,N,적정
150,2024,2,상장,N,기타/확인필요
150,2024,3,상장,N,기타/확인필요
150,2024,4,상장,N,기타/확인필요
150,2025,1,상장,N,기타/확인필요
150,2025,2,상장,N,기타/확인필요
150,2025,3,상장,N,기타/확인필요
180,2020,1,상장,N,기타/확인필요
180,2020,2,상장,N,적정
180,2020,3,상장,N,적정
180,2020,4,상장,N,적정
180,2021,1,상장,N,적정
180,2021,2,상장,N,적정
180,2021,3,상장,N,적정
180,2021,4,상장,N,적정
180,2022,1,상장,N,적정
180,2022,2,상장,N,적정
180,2022,3,상장,N,적정
180,2022,4,상장,N,적정
180,2023,1,상장,N,적정
180,2023,2,상장,N,적정
180,2023,3,상장,N,적정
180,2023,4,상장,N,적정
180,2024,1,상장,N,적정
180,2024,2,상장,N,기타/확인필요
180,2024,3,상장,N,기타/확인필요
180,2024,4,상장,N,기타/확인필요
180,2025,1,상장,N,기타/확인필요
180,2025,2,상장,N,기타/확인필요
180,2025,3,상장,N,기타/확인필요
210,2020,1,상장,N,기타/확인필요
210,2020,2,상장,N,적정
210,2020,3,상장,N,적정
210,2020,4,상장,N,적정
210,2021,1,상장,N,적정
210,2021,2,상장,N,적정
210,2021,3,상장,N,적정
210,2021,4,상장,N,적정
210,2022,1,상장,N,적정
210,2022,2,상장,N,적정
210,2022,3,상장,N,적정
210,2022,4,상장,N,적정
210,2023,1,상장,N,적정
210,2023,2,상장,N,적정
210,2023,3,상장,N,적정
210,2023,4,상장,N,적정
210,2024,1,상장,N,적정
210,2024,2,상장,N,기타/확인필요
210,2024,3,상장,N,기타/확인필요
210,2024,4,상장,N,기타/확인필요
210,2025,1,상장,N,기타/확인필요
210,2025,2,상장,N,기타/확인필요
210,2025,3,상장,N,기타/확인필요
220,2020,1,상장,N,기타/확인필요
220,2020,2,상장,N,기타/확인필요
220,2020,3,상장,N,기타/확인필요
220,2020,4,상장,N,기타/확인필요
220,2021,1,상장,N,기타/확인필요
220,2021,2,상장,N,적정
220,2021,3,상장,N,적정
220,2021,4,상장,N,적정
220,2022,1,상장,N,적정
220,2022,2,상장,N,적정
220,2022,3,상장,N,적정
220,2022,4,상장,N,적정
220,2023,1,상장,N,적정
220,2023,2,상장,N,적정
220,2023,3,상장,N,적정
220,2023,4,상장,N,적정
220,2024,1,상장,N,적정
220,2024,2,상장,N,기타/확인필요
220,2024,3,상장,N,기타/확인필요
220,2024,4,상장,N,기타/확인필요
220,2025,1,상장,N,기타/확인필요
220,2025,2,상장,N,기타/확인필요
220,2025,3,상장,N,기타/확인필요
230,2020,1,상장,N,기타/확인필요
230,2020,2,상장,N,적정
230,2020,3,상장,N,적정
230,2020,4,상장,N,적정
230,2021,1,상장,N,적정
230,2021,2,상장,N,적정
230,2021,3,상장,N,적정
230,2021,4,상장,N,적정
230,2022,1,상장,N,적정
230,2022,2,상장,N,적정
230,2022,3,상장,N,적정
230,2022,4,상장,N,적정
230,2023,1,상장,N,적정
230,2023,2,상장,N,적정
230,2023,3,상장,N,적정
230,2023,4,상장,N,적정
230,2024,1,상장,N,적정
230,2024,2,상장,N,기타/확인필요
230,2024,3,상장,N,기타/확인필요
230,2024,4,상장,N,기타/확인필요
230,2025,1,상장,N,기타/확인필요
230,2025,2,상장,N,기타/확인필요
230,2025,3,상장,N,기타/확인필요
240,2020,1,상장,N,기타/확인필요
240,2020,2,상장,N,적정
240,2020,3,상장,N,적정
240,2020,4,상장,N,적정
240,2021,1,상장,N,적정
240,2021,2,상장,N,적정
240,2021,3,상장,N,적정
240,2021,4,상장,N,적정
240,2022,1,상장,N,적정
240,2022,2,상장,N,적정
240,2022,3,상장,N,적정
240,2022,4,상장,N,적정
240,2023,1,상장,N,적정
240,2023,2,상장,N,적정
240,2023,3,상장,N,적정
240,2023,4,상장,N,적정
240,2024,1,상장,N,적정
240,2024,2,상장,N,기타/확인필요
240,2024,3,상장,N,기타/확인필요
240,2024,4,상장,N,기타/확인필요
240,2025,1,상장,N,기타/확인필요
240,2025,2,상장,N,기타/확인필요
240,2025,3,상장,N,기타/확인필요
250,2020,1,상장,N,기타/확인필요
250,2020,2,상장,N,적정
250,2020,3,상장,N,적정
250,2020,4,상장,N,적정
250,2021,1,상장,N,적정
250,2021,2,상장,N,적정
250,2021,3,상장,N,적정
250,2021,4,상장,N,적정
250,2022,1,상장,N,적정
250,2022,2,상장,N,적정
250,2022,3,상장,N,적정
250,2022,4,상장,N,적정
250,2023,1,상장,N,적정
250,2023,2,상장,N,적정
250,2023,3,상장,N,적정
250,2023,4,상장,N,적정
250,2024,1,상장,N,적정
250,2024,2,상장,N,기타/확인필요
250,2024,3,상장,N,기타/확인필요
250,2024,4,상장,N,기타/확인필요
250,2025,1,상장,N,기타/확인필요
250,2025,2,상장,N,기타/확인필요
250,2025,3,상장,N,기타/확인필요
270,2020,1,상장,N,기타/확인필요
270,2020,2,상장,N,기타/확인필요
270,2020,3,상장,N,기타/확인필요
270,2020,4,상장,N,기타/확인필요
270,2021,1,상장,N,기타/확인필요
270,2021,2,상장,N,기타/확인필요
270,2021,3,상장,N,기타/확인필요
270,2021,4,상장,N,기타/확인필요
270,2022,1,상장,N,기타/확인필요
270,2022,2,상장,N,기타/확인필요
270,2022,3,상장,N,기타/확인필요
270,2022,4,상장,N,기타/확인필요
270,2023,1,상장,N,기타/확인필요
270,2023,2,상장,N,기타/확인필요
270,2023,3,상장,N,기타/확인필요
270,2023,4,상장,N,기타/확인필요
270,2024,1,상장,N,기타/확인필요
270,2024,2,상장,N,기타/확인필요
270,2024,3,상장,N,기타/확인필요
270,2024,4,상장,N,기타/확인필요
270,2025,1,상장,N,기타/확인필요
270,2025,2,상장,N,기타/확인필요
270,2025,3,상장,N,기타/확인필요
300,2020,1,상장,N,기타/확인필요
300,2020,2,상장,N,적정
300,2020,3,상장,N,적정
300,2020,4,상장,N,적정
300,2021,1,상장,N,적정
300,2021,2,상장,N,적정
300,2021,3,상장,N,적정
300,2021,4,상장,N,적정
300,2022,1,상장,N,적정
300,2022,2,상장,N,적정
300,2022,3,상장,N,적정
300,2022,4,상장,N,적정
300,2023,1,상장,N,적정
300,2023,2,상장,N,기타/확인필요
300,2023,3,상장,N,기타/확인필요
300,2023,4,상장,N,기타/확인필요
300,2024,1,상장,N,기타/확인필요
300,2024,2,상장,N,기타/확인필요
300,2024,3,상장,N,기타/확인필요
300,2024,4,상장,N,기타/확인필요
300,2025,1,상장,N,기타/확인필요
300,2025,2,상장,N,기타/확인필요
300,2025,3,상장,N,기타/확인필요
320,2020,1,상장,N,기타/확인필요
320,2020,2,상장,N,적정
320,2020,3,상장,N,적정
320,2020,4,상장,N,적정
320,2021,1,상장,N,적정
320,2021,2,상장,N,적정
320,2021,3,상장,N,적정
320,2021,4,상장,N,적정
320,2022,1,상장,N,적정
320,2022,2,상장,N,적정
320,2022,3,상장,N,적정
320,2022,4,상장,N,적정
320,2023,1,상장,N,적정
320,2023,2,상장,N,적정
320,2023,3,상장,N,적정
320,2023,4,상장,N,적정
320,2024,1,상장,N,적정
320,2024,2,상장,N,기타/확인필요
320,2024,3,상장,N,기타/확인필요
320,2024,4,상장,N,기타/확인필요
320,2025,1,상장,N,기타/확인필요
320,2025,2,상장,N,기타/확인필요
320,2025,3,상장,N,기타/확인필요
370,2023,3,상장,N,기타/확인필요
370,2023,4,상장,N,기타/확인필요
370,2024,1,상장,N,기타/확인필요
370,2024,2,상장,N,기타/확인필요
370,2024,3,상장,N,기타/확인필요
370,2024,4,상장,N,기타/확인필요
370,2025,1,상장,N,기타/확인필요
370,2025,2,상장,N,기타/확인필요
370,2025,3,상장,N,기타/확인필요
390,2020,1,상장,N,기타/확인필요
390,2020,2,상장,N,적정
390,2020,3,상장,N,적정
390,2020,4,상장,N,적정
390,2021,1,상장,N,적정
390,2021,2,상장,N,적정
390,2021,3,상장,N,적정
390,2021,4,상장,N,적정
390,2022,1,상장,N,적정
390,2022,2,상장,N,적정
390,2022,3,상장,N,적정
390,2022,4,상장,N,적정
390,2023,1,상장,N,적정
390,2023,2,상장,N,적정
390,2023,3,상장,N,적정
390,2023,4,상장,N,적정
390,2024,1,상장,N,적정
390,2024,2,상장,N,기타/확인필요
390,2024,3,상장,N,기타/확인필요
390,2024,4,상장,N,기타/확인필요
390,2025,1,상장,N,기타/확인필요
390,2025,2,상장,N,기타/확인필요
390,2025,3,상장,N,기타/확인필요
400,2023,3,상장,N,기타/확인필요
400,2023,4,상장,N,적정
400,2024,1,상장,N,적정
400,2024,2,상장,N,기타/확인필요
400,2024,3,상장,N,기타/확인필요
400,2024,4,상장,N,기타/확인필요
400,2025,1,상장,N,기타/확인필요
400,2025,2,상장,N,기타/확인필요
400,2025,3,상장,N,기타/확인필요
430,2020,1,상장,N,기타/확인필요
430,2020,2,상장,N,적정
430,2020,3,상장,N,적정
430,2020,4,상장,N,적정
430,2021,1,상장,N,적정
430,2021,2,상장,N,적정
430,2021,3,상장,N,적정
430,2021,4,상장,N,적정
430,2022,1,상장,N,적정
430,2022,2,상장,N,적정
430,2022,3,상장,N,적정
430,2022,4,상장,N,적정
430,2023,1,상장,N,적정
430,2023,2,상장,N,적정
430,2023,3,상장,N,적정
430,2023,4,상장,N,적정
430,2024,1,상장,N,적정
430,2024,2,상장,N,기타/확인필요
430,2024,3,상장,N,기타/확인필요
430,2024,4,상장,N,기타/확인필요
430,2025,1,상장,N,기타/확인필요
430,2025,2,상장,N,기타/확인필요
430,2025,3,상장,N,기타/확인필요
440,2020,1,상장,N,기타/확인필요
440,2020,2,상장,N,적정
440,2020,3,상장,N,적정
440,2020,4,상장,N,적정
440,2021,1,상장,N,적정
440,2021,2,상장,N,적정
440,2021,3,상장,N,적정
440,2021,4,상장,N,적정
440,2022,1,상장,N,적정
440,2022,2,상장,N,적정
440,2022,3,상장,N,적정
440,2022,4,상장,N,적정
440,2023,1,상장,N,적정
440,2023,2,상장,N,적정
440,2023,3,상장,N,적정
440,2023,4,상장,N,적정
440,2024,1,상장,N,적정
440,2024,2,상장,N,기타/확인필요
440,2024,3,상장,N,기타/확인필요
440,2024,4,상장,N,기타/확인필요
440,2025,1,상장,N,기타/확인필요
440,2025,2,상장,N,기타/확인필요
440,2025,3,상장,N,기타/확인필요
480,2020,1,상장,N,기타/확인필요
480,2020,2,상장,N,적정
480,2020,3,상장,N,적정
480,2020,4,상장,N,적정
480,2021,1,상장,N,적정
480,2021,2,상장,N,적정
480,2021,3,상장,N,적정
480,2021,4,상장,N,적정
480,2022,1,상장,N,적정
480,2022,2,상장,N,적정
480,2022,3,상장,N,적정
480,2022,4,상장,N,적정
480,2023,1,상장,N,적정
480,2023,2,상장,N,적정
480,2023,3,상장,N,적정
480,2023,4,상장,N,적정
480,2024,1,상장,N,적정
480,2024,2,상장,N,기타/확인필요
480,2024,3,상장,N,기타/확인필요
480,2024,4,상장,N,기타/확인필요
480,2025,1,상장,N,기타/확인필요
480,2025,2,상장,N,기타/확인필요
480,2025,3,상장,N,기타/확인필요
490,2020,1,상장,N,기타/확인필요
490,2020,2,상장,N,적정
490,2020,3,상장,N,적정
490,2021,1,상장,N,기타/확인필요
490,2021,2,상장,N,적정
490,2021,3,상장,N,적정
490,2022,1,상장,N,기타/확인필요
490,2022,2,상장,N,적정
490,2022,3,상장,N,적정
490,2023,1,상장,N,기타/확인필요
490,2023,2,상장,N,기타/확인필요
490,2023,3,상장,N,기타/확인필요
490,2024,1,상장,N,기타/확인필요
490,2024,2,상장,N,기타/확인필요
490,2024,3,상장,N,기타/확인필요
490,2025,1,상장,N,기타/확인필요
490,2025,2,상장,N,기타/확인필요
,2025,3,상장,N,기타/확인필요
,2025,2,상장,N,기타/확인필요
,2025,3,상장,N,기타/확인필요
500,2020,1,상장,N,기타/확인필요
500,2020,2,상장,N,적정
500,2020,3,상장,N,적정
500,2020,4,상장,N,적정
500,2021,1,상장,N,적정
500,2021,2,상장,N,적정
500,2021,3,상장,N,적정
500,2021,4,상장,N,적정
500,2022,1,상장,N,적정
500,2022,2,상장,N,적정
500,2022,3,상장,N,적정
500,2022,4,상장,N,적정
500,2023,1,상장,N,적정
500,2023,2,상장,N,적정
500,2023,3,상장,N,적정
500,2023,4,상장,N,적정
500,2024,1,상장,N,적정
500,2024,2,상장,N,기타/확인필요
500,2024,3,상장,N,기타/확인필요
500,2024,4,상장,N,기타/확인필요
500,2025,1,상장,N,기타/확인필요
500,2025,2,상장,N,기타/확인필요
500,2025,3,상장,N,기타/확인필요
520,2020,1,상장,N,기타/확인필요
520,2020,2,상장,N,기타/확인필요
520,2020,3,상장,N,기타/확인필요
520,2020,4,상장,N,기타/확인필요
520,2021,1,상장,N,기타/확인필요
520,2021,2,상장,N,기타/확인필요
520,2021,3,상장,N,기타/확인필요
520,2021,4,상장,N,기타/확인필요
520,2022,1,상장,N,기타/확인필요
520,2022,2,상장,N,기타/확인필요
520,2022,3,상장,N,기타/확인필요
520,2022,4,상장,N,기타/확인필요
520,2023,1,상장,N,기타/확인필요
520,2023,2,상장,N,기타/확인필요
520,2023,3,상장,N,기타/확인필요
520,2023,4,상장,N,기타/확인필요
520,2024,1,상장,N,기타/확인필요
520,2024,2,상장,N,기타/확인필요
520,2024,3,상장,N,기타/확인필요
520,2024,4,상장,N,기타/확인필요
520,2025,1,상장,N,기타/확인필요
520,2025,2,상장,N,기타/확인필요
520,2025,3,상장,N,기타/확인필요
540,2023,3,상장,N,기타/확인필요
540,2023,4,상장,N,적정
540,2024,1,상장,N,적정
540,2024,2,상장,N,기타/확인필요
540,2024,3,상장,N,기타/확인필요
540,2024,4,상장,N,기타/확인필요
540,2025,1,상장,N,기타/확인필요
540,2025,2,상장,N,기타/확인필요
540,2025,3,상장,N,기타/확인필요
590,2020,1,상장,N,기타/확인필요
590,2020,2,상장,N,적정
590,2020,3,상장,N,적정
590,2020,4,상장,N,적정
590,2021,1,상장,N,적정
590,2021,2,상장,N,적정
590,2021,3,상장,N,적정
590,2021,4,상장,N,적정
590,2022,1,상장,N,적정
590,2022,2,상장,N,적정
590,2022,3,상장,N,적정
590,2022,4,상장,N,적정
590,2023,1,상장,N,적정
590,2023,2,상장,N,적정
590,2023,3,상장,N,적정
590,2023,4,상장,N,적정
590,2024,1,상장,N,적정
590,2024,2,상장,N,기타/확인필요
590,2024,3,상장,N,기타/확인필요
590,2024,4,상장,N,기타/확인필요
590,2025,1,상장,N,기타/확인필요
590,2025,2,상장,N,기타/확인필요
590,2025,3,상장,N,기타/확인필요
640,2020,1,상장,N,기타/확인필요
640,2020,2,상장,N,적정
640,2020,3,상장,N,적정
640,2020,4,상장,N,적정
640,2021,1,상장,N,적정
640,2021,2,상장,N,적정
640,2021,3,상장,N,적정
640,2021,4,상장,N,적정
640,2022,1,상장,N,적정
640,2022,2,상장,N,적정
640,2022,3,상장,N,적정
640,2022,4,상장,N,적정
640,2023,1,상장,N,적정
640,2023,2,상장,N,적정
640,2023,3,상장,N,적정
640,2023,4,상장,N,적정
640,2024,1,상장,N,적정
640,2024,2,상장,N,기타/확인필요
640,2024,3,상장,N,기타/확인필요
640,2024,4,상장,N,기타/확인필요
640,2025,1,상장,N,기타/확인필요
640,2025,2,상장,N,기타/확인필요
640,2025,3,상장,N,기타/확인필요
650,2020,1,상장,N,기타/확인필요
650,2020,2,상장,N,적정
650,2020,3,상장,N,적정
650,2020,4,상장,N,적정
650,2021,1,상장,N,적정
650,2021,2,상장,N,적정
650,2021,3,상장,N,적정
650,2021,4,상장,N,적정
650,2022,1,상장,N,적정
650,2022,2,상장,N,적정
650,2022,3,상장,N,적정
650,2022,4,상장,N,적정
650,2023,1,상장,N,적정
650,2023,2,상장,N,적정
650,2023,3,상장,N,적정
650,2023,4,상장,N,적정
650,2024,1,상장,N,적정
650,2024,2,상장,N,기타/확인필요
650,2024,3,상장,N,기타/확인필요
650,2024,4,상장,N,기타/확인필요
650,2025,1,상장,N,기타/확인필요
650,2025,2,상장,N,기타/확인필요
650,2025,3,상장,N,기타/확인필요
660,2020,1,상장,N,기타/확인필요
660,2020,2,상장,N,적정
660,2020,3,상장,N,적정
660,2020,4,상장,N,적정
660,2021,1,상장,N,적정
660,2021,2,상장,N,적정
660,2021,3,상장,N,적정
660,2021,4,상장,N,적정
660,2022,1,상장,N,적정
660,2022,2,상장,N,적정
660,2022,3,상장,N,적정
660,2022,4,상장,N,적정
660,2023,1,상장,N,적정
660,2023,2,상장,N,적정
660,2023,3,상장,N,적정
660,2023,4,상장,N,적정
660,2024,1,상장,N,적정
660,2024,2,상장,N,기타/확인필요
660,2024,3,상장,N,기타/확인필요
660,2024,4,상장,N,기타/확인필요
660,2025,1,상장,N,기타/확인필요
660,2025,2,상장,N,기타/확인필요
660,2025,3,상장,N,기타/확인필요
670,2020,1,상장,N,기타/확인필요
670,2020,2,상장,N,적정
670,2020,3,상장,N,적정
670,2020,4,상장,N,적정
670,2021,1,상장,N,적정
670,2021,2,상장,N,적정
670,2021,3,상장,N,적정
670,2021,4,상장,N,적정
670,2022,1,상장,N,적정
670,2022,2,상장,N,적정
670,2022,3,상장,N,적정
670,2022,4,상장,N,적정
670,2023,1,상장,N,적정
670,2023,2,상장,N,적정
670,2023,3,상장,N,적정
670,2023,4,상장,N,적정
670,2024,1,상장,N,적정
670,2024,2,상장,N,기타/확인필요
670,2024,3,상장,N,기타/확인필요
670,2024,4,상장,N,기타/확인필요
670,2025,1,상장,N,기타/확인필요
670,2025,2,상장,N,기타/확인필요
670,2025,3,상장,N,기타/확인필요
680,2020,1,상장,N,기타/확인필요
680,2020,2,상장,N,적정
680,2020,3,상장,N,적정
680,2020,4,상장,N,적정
680,2021,1,상장,N,적정
680,2021,2,상장,N,적정
680,2021,3,상장,N,적정
680,2021,4,상장,N,적정
680,2022,1,상장,N,적정
680,2022,2,상장,N,적정
680,2022,3,상장,N,적정
680,2022,4,상장,N,적정
680,2023,1,상장,N,적정
680,2023,2,상장,N,적정
680,2023,3,상장,N,적정
680,2023,4,상장,N,적정
680,2024,1,상장,N,적정
680,2024,2,상장,N,기타/확인필요
680,2024,3,상장,N,기타/확인필요
680,2024,4,상장,N,기타/확인필요
680,2025,1,상장,N,기타/확인필요
680,2025,2,상장,N,기타/확인필요
680,2025,3,상장,N,기타/확인필요
700,2020,1,상장,N,기타/확인필요
700,2020,2,상장,N,적정
700,2020,3,상장,N,적정
700,2021,1,상장,N,기타/확인필요
700,2021,2,상장,N,적정
700,2021,3,상장,N,적정
700,2022,1,상장,N,기타/확인필요
700,2022,2,상장,N,적정
700,2022,3,상장,N,적정
700,2023,1,상장,N,기타/확인필요
700,2023,2,상장,N,적정
700,2023,3,상장,N,적정
700,2024,1,상장,N,기타/확인필요
700,2024,2,상장,N,기타/확인필요
700,2024,3,상장,N,기타/확인필요
700,2025,1,상장,N,기타/확인필요
700,2025,2,상장,N,기타/확인필요
720,2020,1,상장,N,기타/확인필요
720,2020,2,상장,N,기타/확인필요
720,2020,3,상장,N,기타/확인필요
720,2020,4,상장,N,기타/확인필요
720,2021,1,상장,N,기타/확인필요
720,2021,2,상장,N,기타/확인필요
720,2021,3,상장,N,기타/확인필요
720,2021,4,상장,N,기타/확인필요
720,2022,1,상장,N,기타/확인필요
720,2022,2,상장,N,기타/확인필요
720,2022,3,상장,N,기타/확인필요
720,2022,4,상장,N,기타/확인필요
720,2023,1,상장,N,기타/확인필요
720,2023,2,상장,N,기타/확인필요
720,2023,3,상장,N,기타/확인필요
720,2023,4,상장,N,기타/확인필요
720,2024,1,상장,N,기타/확인필요
720,2024,2,상장,N,기타/확인필요
720,2024,3,상장,N,기타/확인필요
720,2024,4,상장,N,기타/확인필요
720,2025,1,상장,N,기타/확인필요
720,2025,2,상장,N,기타/확인필요
720,2025,3,상장,N,기타/확인필요
760,2020,1,상장,N,기타/확인필요
760,2020,2,상장,N,적정
760,2020,3,상장,N,적정
760,2020,4,상장,N,적정
760,2021,1,상장,N,적정
760,2021,2,상장,N,적정
760,2021,3,상장,N,적정
760,2021,4,상장,N,적정
760,2022,1,상장,N,적정
760,2022,2,상장,N,적정
760,2022,3,상장,N,적정
760,2022,4,상장,N,적정
760,2023,1,상장,N,적정
760,2023,2,상장,N,적정
760,2023,3,상장,N,적정
760,2023,4,상장,N,적정
760,2024,1,상장,N,적정
