stock_code,quarter,상장폐지 여부,관리종목 여부,감사의견
120.0,2022Q1,상장,N,기타/확인필요
120.0,2022Q2,상장,N,기타/확인필요
120.0,2022Q3,상장,N,기타/확인필요
120.0,2022Q4,상장,N,기타/확인필요
120.0,2023Q1,상장,N,기타/확인필요
120.0,2023Q2,상장,N,기타/확인필요
120.0,2023Q3,상장,N,기타/확인필요
120.0,2023Q4,상장,N,기타/확인필요
120.0,2024Q1,상장,N,기타/확인필요
120.0,2024Q2,상장,N,기타/확인필요
120.0,2024Q3,상장,N,기타/확인필요
120.0,2024Q4,상장,N,기타/확인필요
120.0,2025Q1,상장,N,기타/확인필요
120.0,2025Q2,상장,N,기타/확인필요
120.0,2025Q3,상장,N,기타/확인필요
140.0,2020Q1,상장,N,기타/확인필요
140.0,2020Q2,상장,N,적정
140.0,2020Q3,상장,N,적정
140.0,2020Q4,상장,N,적정
140.0,2021Q1,상장,N,적정
140.0,2021Q2,상장,N,적정
140.0,2021Q3,상장,N,적정
140.0,2021Q4,상장,N,적정
140.0,2022Q4,상장,N,적정
140.0,2023Q1,상장,N,적정
140.0,2023Q2,상장,N,적정
140.0,2023Q3,상장,N,적정
140.0,2023Q4,상장,N,적정
140.0,2024Q1,상장,N,적정
140.0,2024Q2,상장,N,기타/확인필요
140.0,2024Q3,상장,N,기타/확인필요
140.0,2024Q4,상장,N,기타/확인필요
140.0,2025Q1,상장,N,기타/확인필요
140.0,2025Q2,상장,N,기타/확인필요
140.0,2025Q3,상장,N,기타/확인필요
150.0,2020Q1,상장,N,기타/확인필요
150.0,2020Q2,상장,N,적정
150.0,2020Q3,상장,N,적정
150.0,2020Q4,상장,N,적정
150.0,2021Q1,상장,N,적정
150.0,2021Q2,상장,N,적정
150.0,2021Q3,상장,N,적정
150.0,2021Q4,상장,N,적정
150.0,2022Q1,상장,N,적정
150.0,2022Q2,상장,N,기타/확인필요
150.0,2022Q3,상장,N,기타/확인필요
150.0,2022Q4,상장,N,기타/확인필요
150.0,2023Q1,상장,N,기타/확인필요
150.0,2023Q2,상장,N,적정
150.0,2023Q3,상장,N,적정
150.0,2023Q4,상장,N,적정
150.0,2024Q1,상장,N,적정
150.0,2024Q2,상장,N,기타/확인필요
150.0,2024Q3,상장,N,기타/확인필요
150.0,2024Q4,상장,N,기타/확인필요
150.0,2025Q1,상장,N,기타/확인필요
150.0,2025Q2,상장,N,기타/확인필요
150.0,2025Q3,상장,N,기타/확인필요
180.0,2020Q1,상장,N,기타/확인필요
180.0,2020Q2,상장,N,적정
180.0,2020Q3,상장,N,적정
180.0,2020Q4,상장,N,적정
180.0,2021Q1,상장,N,적정
180.0,2021Q2,상장,N,적정
180.0,2021Q3,상장,N,적정
180.0,2021Q4,상장,N,적정
180.0,2022Q1,상장,N,적정
180.0,2022Q2,상장,N,적정
180.0,2022Q3,상장,N,적정
180.0,2022Q4,상장,N,적정
180.0,2023Q1,상장,N,적정
180.0,2023Q2,상장,N,적정
180.0,2023Q3,상장,N,적정
180.0,2023Q4,상장,N,적정
180.0,2024Q1,상장,N,적정
180.0,2024Q2,상장,N,기타/확인필요
180.0,2024Q3,상장,N,기타/확인필요
180.0,2024Q4,상장,N,기타/확인필요
180.0,2025Q1,상장,N,기타/확인필요
180.0,2025Q2,상장,N,기타/확인필요
180.0,2025Q3,상장,N,기타/확인필요
210.0,2020Q1,상장,N,기타/확인필요
210.0,2020Q2,상장,N,적정
210.0,2020Q3,상장,N,적정
210.0,2020Q4,상장,N,적정
210.0,2021Q1,상장,N,적정
210.0,2021Q2,상장,N,적정
210.0,2021Q3,상장,N,적정
210.0,2021Q4,상장,N,적정
210.0,2022Q1,상장,N,적정
210.0,2022Q2,상장,N,적정
210.0,2022Q3,상장,N,적정
210.0,2022Q4,상장,N,적정
210.0,2023Q1,상장,N,적정
210.0,2023Q2,상장,N,적정
210.0,2023Q3,상장,N,적정
210.0,2023Q4,상장,N,적정
210.0,2024Q1,상장,N,적정
210.0,2024Q2,상장,N,기타/확인필요
210.0,2024Q3,상장,N,기타/확인필요
210.0,2024Q4,상장,N,기타/확인필요
210.0,2025Q1,상장,N,기타/확인필요
210.0,2025Q2,상장,N,기타/확인필요
210.0,2025Q3,상장,N,기타/확인필요
220.0,2020Q1,상장,N,기타/확인필요
220.0,2020Q2,상장,N,기타/확인필요
220.0,2020Q3,상장,N,기타/확인필요
220.0,2020Q4,상장,N,기타/확인필요
220.0,2021Q1,상장,N,기타/확인필요
220.0,2021Q2,상장,N,적정
220.0,2021Q3,상장,N,적정
220.0,2021Q4,상장,N,적정
220.0,2022Q1,상장,N,적정
220.0,2022Q2,상장,N,적정
220.0,2022Q3,상장,N,적정
220.0,2022Q4,상장,N,적정
220.0,2023Q1,상장,N,적정
220.0,2023Q2,상장,N,적정
220.0,2023Q3,상장,N,적정
220.0,2023Q4,상장,N,적정
220.0,2024Q1,상장,N,적정
220.0,2024Q2,상장,N,기타/확인필요
220.0,2024Q3,상장,N,기타/확인필요
220.0,2024Q4,상장,N,기타/확인필요
220.0,2025Q1,상장,N,기타/확인필요
220.0,2025Q2,상장,N,기타/확인필요
220.0,2025Q3,상장,N,기타/확인필요
230.0,2020Q1,상장,N,기타/확인필요
230.0,2020Q2,상장,N,적정
230.0,2020Q3,상장,N,적정
230.0,2020Q4,상장,N,적정
230.0,2021Q1,상장,N,적정
230.0,2021Q2,상장,N,적정
230.0,2021Q3,상장,N,적정
230.0,2021Q4,상장,N,적정
230.0,2022Q1,상장,N,적정
230.0,2022Q2,상장,N,적정
230.0,2022Q3,상장,N,적정
230.0,2022Q4,상장,N,적정
230.0,2023Q1,상장,N,적정
230.0,2023Q2,상장,N,적정
230.0,2023Q3,상장,N,적정
230.0,2023Q4,상장,N,적정
230.0,2024Q1,상장,N,적정
230.0,2024Q2,상장,N,기타/확인필요
230.0,2024Q3,상장,N,기타/확인필요
230.0,2024Q4,상장,N,기타/확인필요
230.0,2025Q1,상장,N,기타/확인필요
230.0,2025Q2,상장,N,기타/확인필요
230.0,2025Q3,상장,N,기타/확인필요
240.0,2020Q1,상장,N,기타/확인필요
240.0,2020Q2,상장,N,적정
240.0,2020Q3,상장,N,적정
240.0,2020Q4,상장,N,적정
240.0,2021Q1,상장,N,적정
240.0,2021Q2,상장,N,적정
240.0,2021Q3,상장,N,적정
240.0,2021Q4,상장,N,적정
240.0,2022Q1,상장,N,적정
240.0,2022Q2,상장,N,적정
240.0,2022Q3,상장,N,적정
240.0,2022Q4,상장,N,적정
240.0,2023Q1,상장,N,적정
240.0,2023Q2,상장,N,적정
240.0,2023Q3,상장,N,적정
240.0,2023Q4,상장,N,적정
240.0,2024Q1,상장,N,적정
240.0,2024Q2,상장,N,기타/확인필요
240.0,2024Q3,상장,N,기타/확인필요
240.0,2024Q4,상장,N,기타/확인필요
240.0,2025Q1,상장,N,기타/확인필요
240.0,2025Q2,상장,N,기타/확인필요
240.0,2025Q3,상장,N,기타/확인필요
250.0,2020Q1,상장,N,기타/확인필요
250.0,2020Q2,상장,N,적정
250.0,2020Q3,상장,N,적정
250.0,2020Q4,상장,N,적정
250.0,2021Q1,상장,N,적정
250.0,2021Q2,상장,N,적정
250.0,2021Q3,상장,N,적정
250.0,2021Q4,상장,N,적정
250.0,2022Q1,상장,N,적정
250.0,2022Q2,상장,N,적정
250.0,2022Q3,상장,N,적정
250.0,2022Q4,상장,N,적정
250.0,2023Q1,상장,N,적정
250.0,2023Q2,상장,N,적정
250.0,2023Q3,상장,N,적정
250.0,2023Q4,상장,N,적정
250.0,2024Q1,상장,N,적정
250.0,2024Q2,상장,N,기타/확인필요
250.0,2024Q3,상장,N,기타/확인필요
250.0,2024Q4,상장,N,기타/확인필요
250.0,2025Q1,상장,N,기타/확인필요
250.0,2025Q2,상장,N,기타/확인필요
250.0,2025Q3,상장,N,기타/확인필요
270.0,2020Q1,상장,N,기타/확인필요
270.0,2020Q2,상장,N,기타/확인필요
270.0,2020Q3,상장,N,기타/확인필요
270.0,2020Q4,상장,N,기타/확인필요
270.0,2021Q1,상장,N,기타/확인필요
270.0,2021Q2,상장,N,기타/확인필요
270.0,2021Q3,상장,N,기타/확인필요
270.0,2021Q4,상장,N,기타/확인필요
270.0,2022Q1,상장,N,기타/확인필요
270.0,2022Q2,상장,N,기타/확인필요
270.0,2022Q3,상장,N,기타/확인필요
270.0,2022Q4,상장,N,기타/확인필요
270.0,2023Q1,상장,N,기타/확인필요
270.0,2023Q2,상장,N,기타/확인필요
270.0,2023Q3,상장,N,기타/확인필요
270.0,2023Q4,상장,N,기타/확인필요
270.0,2024Q1,상장,N,기타/확인필요
270.0,2024Q2,상장,N,기타/확인필요
270.0,2024Q3,상장,N,기타/확인필요
270.0,2024Q4,상장,N,기타/확인필요
270.0,2025Q1,상장,N,기타/확인필요
270.0,2025Q2,상장,N,기타/확인필요
270.0,2025Q3,상장,N,기타/확인필요
300.0,2020Q1,상장,N,기타/확인필요
300.0,2020Q2,상장,N,적정
300.0,2020Q3,상장,N,적정
300.0,2020Q4,상장,N,적정
300.0,2021Q1,상장,N,적정
300.0,2021Q2,상장,N,적정
300.0,2021Q3,상장,N,적정
300.0,2021Q4,상장,N,적정
300.0,2022Q1,상장,N,적정
300.0,2022Q2,상장,N,적정
300.0,2022Q3,상장,N,적정
300.0,2022Q4,상장,N,적정
300.0,2023Q1,상장,N,적정
300.0,2023Q2,상장,N,기타/확인필요
300.0,2023Q3,상장,N,기타/확인필요
300.0,2023Q4,상장,N,기타/확인필요
300.0,2024Q1,상장,N,기타/확인필요
300.0,2024Q2,상장,N,기타/확인필요
300.0,2024Q3,상장,N,기타/확인필요
300.0,2024Q4,상장,N,기타/확인필요
300.0,2025Q1,상장,N,기타/확인필요
300.0,2025Q2,상장,N,기타/확인필요
300.0,2025Q3,상장,N,기타/확인필요
320.0,2020Q1,상장,N,기타/확인필요
320.0,2020Q2,상장,N,적정
320.0,2020Q3,상장,N,적정
320.0,2020Q4,상장,N,적정
320.0,2021Q1,상장,N,적정
320.0,2021Q2,상장,N,적정
320.0,2021Q3,상장,N,적정
320.0,2021Q4,상장,N,적정
320.0,2022Q1,상장,N,적정
320.0,2022Q2,상장,N,적정
320.0,2022Q3,상장,N,적정
320.0,2022Q4,상장,N,적정
320.0,2023Q1,상장,N,적정
320.0,2023Q2,상장,N,적정
320.0,2023Q3,상장,N,적정
320.0,2023Q4,상장,N,적정
320.0,2024Q1,상장,N,적정
320.0,2024Q2,상장,N,기타/확인필요
320.0,2024Q3,상장,N,기타/확인필요
320.0,2024Q4,상장,N,기타/확인필요
320.0,2025Q1,상장,N,기타/확인필요
320.0,2025Q2,상장,N,기타/확인필요
320.0,2025Q3,상장,N,기타/확인필요
370.0,2023Q3,상장,N,기타/확인필요
370.0,2023Q4,상장,N,기타/확인필요
370.0,2024Q1,상장,N,기타/확인필요
370.0,2024Q2,상장,N,기타/확인필요
370.0,2024Q3,상장,N,기타/확인필요
370.0,2024Q4,상장,N,기타/확인필요
370.0,2025Q1,상장,N,기타/확인필요
370.0,2025Q2,상장,N,기타/확인필요
370.0,2025Q3,상장,N,기타/확인필요
390.0,2020Q1,상장,N,기타/확인필요
390.0,2020Q2,상장,N,적정
390.0,2020Q3,상장,N,적정
390.0,2020Q4,상장,N,적정
390.0,2021Q1,상장,N,적정
390.0,2021Q2,상장,N,적정
390.0,2021Q3,상장,N,적정
390.0,2021Q4,상장,N,적정
390.0,2022Q1,상장,N,적정
390.0,2022Q2,상장,N,적정
390.0,2022Q3,상장,N,적정
390.0,2022Q4,상장,N,적정
390.0,2023Q1,상장,N,적정
390.0,2023Q2,상장,N,적정
390.0,2023Q3,상장,N,적정
390.0,2023Q4,상장,N,적정
390.0,2024Q1,상장,N,적정
390.0,2024Q2,상장,N,기타/확인필요
390.0,2024Q3,상장,N,기타/확인필요
390.0,2024Q4,상장,N,기타/확인필요
390.0,2025Q1,상장,N,기타/확인필요
390.0,2025Q2,상장,N,기타/확인필요
390.0,2025Q3,상장,N,기타/확인필요
400.0,2023Q3,상장,N,기타/확인필요
400.0,2023Q4,상장,N,적정
400.0,2024Q1,상장,N,적정
400.0,2024Q2,상장,N,기타/확인필요
400.0,2024Q3,상장,N,기타/확인필요
400.0,2024Q4,상장,N,기타/확인필요
400.0,2025Q1,상장,N,기타/확인필요
400.0,2025Q2,상장,N,기타/확인필요
400.0,2025Q3,상장,N,기타/확인필요
430.0,2020Q1,상장,N,기타/확인필요
430.0,2020Q2,상장,N,적정
430.0,2020Q3,상장,N,적정
430.0,2020Q4,상장,N,적정
430.0,2021Q1,상장,N,적정
430.0,2021Q2,상장,N,적정
430.0,2021Q3,상장,N,적정
430.0,2021Q4,상장,N,적정
430.0,2022Q1,상장,N,적정
430.0,2022Q2,상장,N,적정
430.0,2022Q3,상장,N,적정
430.0,2022Q4,상장,N,적정
430.0,2023Q1,상장,N,적정
430.0,2023Q2,상장,N,적정
430.0,2023Q3,상장,N,적정
430.0,2023Q4,상장,N,적정
430.0,2024Q1,상장,N,적정
430.0,2024Q2,상장,N,기타/확인필요
430.0,2024Q3,상장,N,기타/확인필요
430.0,2024Q4,상장,N,기타/확인필요
430.0,2025Q1,상장,N,기타/확인필요
430.0,2025Q2,상장,N,기타/확인필요
430.0,2025Q3,상장,N,기타/확인필요
440.0,2020Q1,상장,N,기타/확인필요
440.0,2020Q2,상장,N,적정
440.0,2020Q3,상장,N,적정
440.0,2020Q4,상장,N,적정
440.0,2021Q1,상장,N,적정
440.0,2021Q2,상장,N,적정
440.0,2021Q3,상장,N,적정
440.0,2021Q4,상장,N,적정
440.0,2022Q1,상장,N,적정
440.0,2022Q2,상장,N,적정
440.0,2022Q3,상장,N,적정
440.0,2022Q4,상장,N,적정
440.0,2023Q1,상장,N,적정
440.0,2023Q2,상장,N,적정
440.0,2023Q3,상장,N,적정
440.0,2023Q4,상장,N,적정
440.0,2024Q1,상장,N,적정
440.0,2024Q2,상장,N,기타/확인필요
440.0,2024Q3,상장,N,기타/확인필요
440.0,2024Q4,상장,N,기타/확인필요
440.0,2025Q1,상장,N,기타/확인필요
440.0,2025Q2,상장,N,기타/확인필요
440.0,2025Q3,상장,N,기타/확인필요
480.0,2020Q1,상장,N,기타/확인필요
480.0,2020Q2,상장,N,적정
480.0,2020Q3,상장,N,적정
480.0,2020Q4,상장,N,적정
480.0,2021Q1,상장,N,적정
480.0,2021Q2,상장,N,적정
480.0,2021Q3,상장,N,적정
480.0,2021Q4,상장,N,적정
480.0,2022Q1,상장,N,적정
480.0,2022Q2,상장,N,적정
480.0,2022Q3,상장,N,적정
480.0,2022Q4,상장,N,적정
480.0,2023Q1,상장,N,적정
480.0,2023Q2,상장,N,적정
480.0,2023Q3,상장,N,적정
480.0,2023Q4,상장,N,적정
480.0,2024Q1,상장,N,적정
480.0,2024Q2,상장,N,기타/확인필요
480.0,2024Q3,상장,N,기타/확인필요
480.0,2024Q4,상장,N,기타/확인필요
480.0,2025Q1,상장,N,기타/확인필요
480.0,2025Q2,상장,N,기타/확인필요
480.0,2025Q3,상장,N,기타/확인필요
490.0,2020Q1,상장,N,기타/확인필요
490.0,2020Q2,상장,N,적정
490.0,2020Q3,상장,N,적정
490.0,2021Q1,상장,N,기타/확인필요
490.0,2021Q2,상장,N,적정
490.0,2021Q3,상장,N,적정
490.0,2022Q1,상장,N,기타/확인필요
490.0,2022Q2,상장,N,적정
490.0,2022Q3,상장,N,적정
490.0,2023Q1,상장,N,기타/확인필요
490.0,2023Q2,상장,N,기타/확인필요
490.0,2023Q3,상장,N,기타/확인필요
490.0,2024Q1,상장,N,기타/확인필요
490.0,2024Q2,상장,N,기타/확인필요
490.0,2024Q3,상장,N,기타/확인필요
490.0,2025Q1,상장,N,기타/확인필요
490.0,2025Q2,상장,N,기타/확인필요
,2025Q3,상장,N,기타/확인필요
,2025Q2,상장,N,기타/확인필요
,2025Q3,상장,N,기타/확인필요
500.0,2020Q1,상장,N,기타/확인필요
500.0,2020Q2,상장,N,적정
500.0,2020Q3,상장,N,적정
500.0,2020Q4,상장,N,적정
500.0,2021Q1,상장,N,적정
500.0,2021Q2,상장,N,적정
500.0,2021Q3,상장,N,적정
500.0,2021Q4,상장,N,적정
500.0,2022Q1,상장,N,적정
500.0,2022Q2,상장,N,적정
500.0,2022Q3,상장,N,적정
500.0,2022Q4,상장,N,적정
500.0,2023Q1,상장,N,적정
500.0,2023Q2,상장,N,적정
500.0,2023Q3,상장,N,적정
500.0,2023Q4,상장,N,적정
500.0,2024Q1,상장,N,적정
500.0,2024Q2,상장,N,기타/확인필요
500.0,2024Q3,상장,N,기타/확인필요
500.0,2024Q4,상장,N,기타/확인필요
500.0,2025Q1,상장,N,기타/확인필요
500.0,2025Q2,상장,N,기타/확인필요
500.0,2025Q3,상장,N,기타/확인필요
520.0,2020Q1,상장,N,기타/확인필요
520.0,2020Q2,상장,N,기타/확인필요
520.0,2020Q3,상장,N,기타/확인필요
520.0,2020Q4,상장,N,기타/확인필요
520.0,2021Q1,상장,N,기타/확인필요
520.0,2021Q2,상장,N,기타/확인필요
520.0,2021Q3,상장,N,기타/확인필요
520.0,2021Q4,상장,N,기타/확인필요
520.0,2022Q1,상장,N,기타/확인필요
520.0,2022Q2,상장,N,기타/확인필요
520.0,2022Q3,상장,N,기타/확인필요
520.0,2022Q4,상장,N,기타/확인필요
520.0,2023Q1,상장,N,기타/확인필요
520.0,2023Q2,상장,N,기타/확인필요
520.0,2023Q3,상장,N,기타/확인필요
520.0,2023Q4,상장,N,기타/확인필요
520.0,2024Q1,상장,N,기타/확인필요
520.0,2024Q2,상장,N,기타/확인필요
520.0,2024Q3,상장,N,기타/확인필요
520.0,2024Q4,상장,N,기타/확인필요
520.0,2025Q1,상장,N,기타/확인필요
520.0,2025Q2,상장,N,기타/확인필요
520.0,2025Q3,상장,N,기타/확인필요
540.0,2023Q3,상장,N,기타/확인필요
540.0,2023Q4,상장,N,적정
540.0,2024Q1,상장,N,적정
540.0,2024Q2,상장,N,기타/확인필요
540.0,2024Q3,상장,N,기타/확인필요
540.0,2024Q4,상장,N,기타/확인필요
540.0,2025Q1,상장,N,기타/확인필요
540.0,2025Q2,상장,N,기타/확인필요
540.0,2025Q3,상장,N,기타/확인필요
590.0,2020Q1,상장,N,기타/확인필요
590.0,2020Q2,상장,N,적정
590.0,2020Q3,상장,N,적정
590.0,2020Q4,상장,N,적정
590.0,2021Q1,상장,N,적정
590.0,2021Q2,상장,N,적정
590.0,2021Q3,상장,N,적정
590.0,2021Q4,상장,N,적정
590.0,2022Q1,상장,N,적정
590.0,2022Q2,상장,N,적정
590.0,2022Q3,상장,N,적정
590.0,2022Q4,상장,N,적정
590.0,2023Q1,상장,N,적정
590.0,2023Q2,상장,N,적정
590.0,2023Q3,상장,N,적정
590.0,2023Q4,상장,N,적정
590.0,2024Q1,상장,N,적정
590.0,2024Q2,상장,N,기타/확인필요
590.0,2024Q3,상장,N,기타/확인필요
590.0,2024Q4,상장,N,기타/확인필요
590.0,2025Q1,상장,N,기타/확인필요
590.0,2025Q2,상장,N,기타/확인필요
590.0,2025Q3,상장,N,기타/확인필요
640.0,2020Q1,상장,N,기타/확인필요
640.0,2020Q2,상장,N,적정
640.0,2020Q3,상장,N,적정
640.0,2020Q4,상장,N,적정
640.0,2021Q1,상장,N,적정
640.0,2021Q2,상장,N,적정
640.0,2021Q3,상장,N,적정
640.0,2021Q4,상장,N,적정
640.0,2022Q1,상장,N,적정
640.0,2022Q2,상장,N,적정
640.0,2022Q3,상장,N,적정
640.0,2022Q4,상장,N,적정
640.0,2023Q1,상장,N,적정
640.0,2023Q2,상장,N,적정
640.0,2023Q3,상장,N,적정
640.0,2023Q4,상장,N,적정
640.0,2024Q1,상장,N,적정
640.0,2024Q2,상장,N,기타/확인필요
640.0,2024Q3,상장,N,기타/확인필요
640.0,2024Q4,상장,N,기타/확인필요
640.0,2025Q1,상장,N,기타/확인필요
640.0,2025Q2,상장,N,기타/확인필요
640.0,2025Q3,상장,N,기타/확인필요
650.0,2020Q1,상장,N,기타/확인필요
650.0,2020Q2,상장,N,적정
650.0,2020Q3,상장,N,적정
650.0,2020Q4,상장,N,적정
650.0,2021Q1,상장,N,적정
650.0,2021Q2,상장,N,적정
650.0,2021Q3,상장,N,적정
650.0,2021Q4,상장,N,적정
650.0,2022Q1,상장,N,적정
650.0,2022Q2,상장,N,적정
650.0,2022Q3,상장,N,적정
650.0,2022Q4,상장,N,적정
650.0,2023Q1,상장,N,적정
650.0,2023Q2,상장,N,적정
650.0,2023Q3,상장,N,적정
650.0,2023Q4,상장,N,적정
650.0,2024Q1,상장,N,적정
650.0,2024Q2,상장,N,기타/확인필요
650.0,2024Q3,상장,N,기타/확인필요
650.0,2024Q4,상장,N,기타/확인필요
650.0,2025Q1,상장,N,기타/확인필요
650.0,2025Q2,상장,N,기타/확인필요
650.0,2025Q3,상장,N,기타/확인필요
660.0,2020Q1,상장,N,기타/확인필요
660.0,2020Q2,상장,N,적정
660.0,2020Q3,상장,N,적정
660.0,2020Q4,상장,N,적정
660.0,2021Q1,상장,N,적정
660.0,2021Q2,상장,N,적정
660.0,2021Q3,상장,N,적정
660.0,2021Q4,상장,N,적정
